               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,            0.020234,           0.0053861,                   0,             0.82154,             0.82313,             0.80944,             0.39733,            0.035512,           0.0089082,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.019692,           0.0053469,                   0,               0.873,             0.84176,             0.84404,             0.40349,            0.035404,            0.008729,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.019544,           0.0054302,                   0,             0.88507,             0.78583,             0.81395,             0.38852,            0.036124,           0.0084969,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.020071,           0.0053799,                   0,             0.84863,             0.84354,             0.82512,             0.38536,            0.035373,           0.0084831,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.019459,           0.0053378,                   0,             0.82776,             0.83673,             0.82833,             0.39392,            0.035406,           0.0086738,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.019184,           0.0053693,                   0,             0.87444,             0.79592,             0.82951,             0.39972,            0.035326,           0.0086471,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.019538,           0.0053371,                   0,              0.8828,             0.80952,             0.83307,             0.40478,            0.034321,           0.0086981,                   0,            0.001486,            0.001486,            0.001486
                  88,             0.01875,           0.0051502,                   0,             0.85821,             0.82352,             0.82989,             0.40253,            0.035182,           0.0085195,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.019227,            0.005064,                   0,              0.8729,             0.79427,             0.81964,             0.39369,            0.035016,           0.0084629,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.018666,           0.0053191,                   0,              0.8645,             0.82462,             0.84062,             0.39618,            0.035361,           0.0082306,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.019184,           0.0051091,                   0,             0.83384,             0.80952,             0.82449,             0.40772,            0.034868,           0.0083245,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.018956,           0.0051475,                   0,             0.84251,             0.83702,             0.83671,             0.40227,            0.035059,           0.0081809,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.018637,           0.0051609,                   0,             0.88478,             0.78231,             0.83391,             0.40588,            0.034615,           0.0081619,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.018738,           0.0052822,                   0,              0.8512,             0.81724,             0.83601,              0.4012,            0.034385,           0.0082691,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.018424,           0.0052387,                   0,             0.84502,             0.80952,             0.82899,             0.40487,            0.034782,           0.0082823,                   0,            0.000694,            0.000694,            0.000694
                  96,             0.01791,           0.0049802,                   0,              0.8797,              0.7959,             0.83315,             0.40753,             0.03412,           0.0081817,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.018441,           0.0052239,                   0,             0.85323,             0.81633,             0.83377,             0.40929,             0.03447,           0.0082776,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.017977,           0.0052137,                   0,             0.84872,             0.80145,             0.82475,             0.41146,            0.034352,           0.0082343,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.017954,           0.0053646,                   0,             0.84746,             0.81633,             0.82957,             0.40813,            0.034366,           0.0082069,                   0,            0.000298,            0.000298,            0.000298
